test_case,iteration,timestamp_utc,latency_seconds,prediction
fake_2,89,58:18.1,0.093353417,REAL
fake_2,90,58:18.2,0.097653,REAL
fake_2,91,58:18.3,0.103997958,REAL
fake_2,92,58:18.4,0.098564083,REAL
fake_2,93,58:18.5,0.099756917,REAL
fake_2,94,58:18.6,0.100237083,REAL
fake_2,95,58:18.7,0.103157708,REAL
fake_2,96,58:18.8,0.095983458,REAL
fake_2,97,58:18.9,0.091409292,REAL
fake_2,98,58:19.0,0.2813875,REAL
fake_2,99,58:19.3,0.101000875,REAL
fake_2,100,58:19.4,0.274107,REAL
real_1,1,58:19.7,0.094184791,REAL
real_1,2,58:19.8,0.088405208,REAL
real_1,3,58:19.9,0.09503225,REAL
real_1,4,58:20.0,0.088755167,REAL
real_1,5,58:20.1,0.25852925,REAL
real_1,6,58:20.3,0.08969375,REAL
real_1,7,58:20.4,0.0982665,REAL
real_1,8,58:20.5,0.105785417,REAL
real_1,9,58:20.6,0.094746667,REAL
real_1,10,58:20.7,0.095919791,REAL
real_1,11,58:20.8,0.091103959,REAL
real_1,12,58:20.9,0.089682541,REAL
real_1,13,58:21.0,0.099492,REAL
real_1,14,58:21.1,0.102626708,REAL
real_1,15,58:21.2,0.092958417,REAL
real_1,16,58:21.3,0.088579209,REAL
real_1,17,58:21.4,0.090238167,REAL
real_1,18,58:21.5,0.08793725,REAL
real_1,19,58:21.5,0.284582834,REAL
real_1,20,58:21.8,0.095299417,REAL
real_1,21,58:21.9,0.0965165,REAL
real_1,22,58:22.0,0.089436458,REAL
real_1,23,58:22.1,0.086936459,REAL
real_1,24,58:22.2,0.087214583,REAL
real_1,25,58:22.3,0.097510083,REAL
real_1,26,58:22.4,0.093557541,REAL
real_1,27,58:22.5,0.092353375,REAL
real_1,28,58:22.6,0.095337625,REAL
real_1,29,58:22.7,0.095431875,REAL
real_1,30,58:22.8,0.100576,REAL
real_1,31,58:22.9,0.097032958,REAL
real_1,32,58:23.0,0.097881292,REAL
real_1,33,58:23.0,0.09794825,REAL
real_1,34,58:23.1,0.089997583,REAL
real_1,35,58:23.2,0.097789875,REAL
real_1,36,58:23.3,0.090082875,REAL
real_1,37,58:23.4,0.097541792,REAL
real_1,38,58:23.5,0.103770084,REAL
real_1,39,58:23.6,0.093657542,REAL
real_1,40,58:23.7,0.094300792,REAL
real_1,41,58:23.8,0.09027025,REAL
real_1,42,58:23.9,0.104611,REAL
real_1,43,58:24.0,0.09052325,REAL
real_1,44,58:24.1,0.089214125,REAL
real_1,45,58:24.2,0.100864375,REAL
real_1,46,58:24.3,0.097068375,REAL
real_1,47,58:24.4,0.102213875,REAL
real_1,48,58:24.5,0.09583275,REAL
real_1,49,58:24.6,0.093203125,REAL
real_1,50,58:24.7,0.099600709,REAL
real_1,51,58:24.8,0.091385041,REAL
real_1,52,58:24.9,0.099304125,REAL
real_1,53,58:25.0,0.085753625,REAL
real_1,54,58:25.1,0.09331175,REAL
real_1,55,58:25.1,0.089605166,REAL
real_1,56,58:25.2,0.280442583,REAL
real_1,57,58:25.5,0.092544792,REAL
real_1,58,58:25.6,0.103568958,REAL
real_1,59,58:25.7,0.092366917,REAL
real_1,60,58:25.8,0.098252042,REAL
real_1,61,58:25.9,0.091600208,REAL
real_1,62,58:26.0,0.085024083,REAL
real_1,63,58:26.1,0.0899455,REAL
real_1,64,58:26.2,0.08272825,REAL
real_1,65,58:26.3,0.085996875,REAL
real_1,66,58:26.3,0.09390025,REAL
real_1,67,58:26.4,0.091428667,REAL
real_1,68,58:26.5,0.090633083,REAL
real_1,69,58:26.6,0.08617675,REAL
real_1,70,58:26.7,0.264028834,REAL
real_1,71,58:27.0,0.097161875,REAL
real_1,72,58:27.1,0.093229583,REAL
real_1,73,58:27.2,0.09150875,REAL
real_1,74,58:27.3,0.083335833,REAL
real_1,75,58:27.3,0.269278917,REAL
real_1,76,58:27.6,0.094531916,REAL
real_1,77,58:27.7,0.092904958,REAL
real_1,78,58:27.8,0.092031916,REAL
real_1,79,58:27.9,0.090785917,REAL
real_1,80,58:28.0,0.093789708,REAL
real_1,81,58:28.1,0.28038175,REAL
real_1,82,58:28.4,0.09390525,REAL
real_1,83,58:28.4,0.095043958,REAL
real_1,84,58:28.5,0.097649084,REAL
real_1,85,58:28.6,0.094928834,REAL
real_1,86,58:28.7,0.090695334,REAL
real_1,87,58:28.8,0.091160292,REAL
real_1,88,58:28.9,0.089790958,REAL
real_1,89,58:29.0,0.088595875,REAL
real_1,90,58:29.1,0.095706708,REAL
real_1,91,58:29.2,0.26697875,REAL
real_1,92,58:29.5,0.093227334,REAL
real_1,93,58:29.5,0.092241125,REAL
real_1,94,58:29.6,0.093440583,REAL
real_1,95,58:29.7,0.097815083,REAL
real_1,96,58:29.8,0.089850791,REAL
real_1,97,58:29.9,0.097690916,REAL
real_1,98,58:30.0,0.085150709,REAL
real_1,99,58:30.1,0.091178375,REAL
real_1,100,58:30.2,0.090768333,REAL
real_2,1,58:30.3,0.09715975,FAKE
real_2,2,58:30.4,0.095770667,FAKE
real_2,3,58:30.5,0.094129958,FAKE
real_2,4,58:30.6,0.0879855,FAKE
real_2,5,58:30.7,0.086105875,FAKE
real_2,6,58:30.7,0.091962041,FAKE
real_2,7,58:30.8,0.087139875,FAKE
real_2,8,58:30.9,0.09540625,FAKE
real_2,9,58:31.0,0.087805167,FAKE
real_2,10,58:31.1,0.092206625,FAKE
real_2,11,58:31.2,0.086637041,FAKE
real_2,12,58:31.3,0.089141,FAKE
real_2,13,58:31.4,0.094043458,FAKE
real_2,14,58:31.5,0.091774417,FAKE
real_2,15,58:31.6,0.08910425,FAKE
real_2,16,58:31.7,0.086355916,FAKE
real_2,17,58:31.7,0.098196125,FAKE
real_2,18,58:31.8,0.091890083,FAKE
real_2,19,58:31.9,0.2668095,FAKE
real_2,20,58:32.2,0.091178417,FAKE
real_2,21,58:32.3,0.097883458,FAKE
real_2,22,58:32.4,0.271136083,FAKE
real_2,23,58:32.7,0.104349125,FAKE
real_2,24,58:32.8,0.092133291,FAKE
real_2,25,58:32.9,0.094273958,FAKE
real_2,26,58:33.0,0.0921445,FAKE
real_2,27,58:33.0,0.094176708,FAKE
real_2,28,58:33.1,0.096235459,FAKE
real_2,29,58:33.2,0.088774625,FAKE
real_2,30,58:33.3,0.088731666,FAKE
real_2,31,58:33.4,0.269634875,FAKE
real_2,32,58:33.7,0.092214625,FAKE
real_2,33,58:33.8,0.103673125,FAKE
real_2,34,58:33.9,0.089194375,FAKE
real_2,35,58:34.0,0.092739709,FAKE
real_2,36,58:34.1,0.095461583,FAKE
real_2,37,58:34.2,0.093320708,FAKE
real_2,38,58:34.2,0.090517041,FAKE
real_2,39,58:34.3,0.095095208,FAKE
real_2,40,58:34.4,0.099186584,FAKE
real_2,41,58:34.5,0.086930667,FAKE
real_2,42,58:34.6,0.100250875,FAKE
real_2,43,58:34.7,0.094597375,FAKE
real_2,44,58:34.8,0.08885825,FAKE
real_2,45,58:34.9,0.262274291,FAKE
real_2,46,58:35.2,0.272844334,FAKE
real_2,47,58:35.4,0.09202675,FAKE
real_2,48,58:35.5,0.08642,FAKE
real_2,49,58:35.6,0.265939167,FAKE
real_2,50,58:35.9,0.091579792,FAKE
real_2,51,58:36.0,0.084524459,FAKE
real_2,52,58:36.1,0.093110167,FAKE
real_2,53,58:36.2,0.091821208,FAKE
real_2,54,58:36.2,0.089976667,FAKE
real_2,55,58:36.3,0.097464666,FAKE
real_2,56,58:36.4,0.095733375,FAKE
real_2,57,58:36.5,0.091110417,FAKE
real_2,58,58:36.6,0.087784459,FAKE
real_2,59,58:36.7,0.097879125,FAKE
real_2,60,58:36.8,0.264174083,FAKE
real_2,61,58:37.1,0.088240958,FAKE
real_2,62,58:37.2,0.089406125,FAKE
real_2,63,58:37.3,0.091396,FAKE
real_2,64,58:37.3,0.088284708,FAKE
real_2,65,58:37.4,0.088782417,FAKE
